Seed,T1,D1,Ratio1,T2,D2,Ratio2,H,m,Original_m,Percentage_m,Command
15,106494,107475.282816,1.009214,201946,174911.919180,0.866132,10753018662,8,154223,0.000065,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
16,64634,57712.591134,0.892914,26864,28467.772736,1.059700,868163888,6,45753,0.000175,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
17,171539,132706.863659,0.773625,559,698.913597,1.250293,95890301,7,172337,0.000052,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
18,278722,349605.901250,1.254318,273899,230511.309709,0.841592,76341677078,7,552624,0.000016,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
19,87072,72891.304929,0.837138,98338,72342.412398,0.735651,4281243168,2,92708,0.000043,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
20,44647,45481.983307,1.018702,222036,206025.224646,0.927891,9913241292,7,266689,0.000034,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
21,151771,136622.065279,0.900186,46313,51823.037248,1.118974,7028970323,8,198088,0.000050,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
22,259508,280349.658560,1.080312,169919,120895.726715,0.711490,44095339852,7,429430,0.000021,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
23,218275,276327.650291,1.265961,145266,131703.986776,0.906640,31707936150,7,363544,0.000025,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
24,26317,22336.828958,0.848760,269634,296591.694463,1.099979,7095957978,2,295964,0.000014,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
25,281807,204422.602452,0.725399,241722,311129.126714,1.287136,68118951654,9,523532,0.000021,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
26,238664,216127.640179,0.905573,64596,56695.697093,0.877697,3854184936,5,75820,0.000092,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
